family,n_specs,n_trials,n_obs,sigma_sr,best_sharpe,mds80_095,power_S05_095,mds80_050,power_S05_050
asset_growth,12,12,2928,0.09341724946098921,0.2925586699467865,0.8854892900998518,0.31868121507530034,0.40250983451786654,0.8797465449839434
best_ideas_13f,18,36,2890,0.17158843443897145,0.6721449129263352,1.1035062686731643,0.11497767637711664,0.6171523837270539,0.6718990567485276
bonds,18,18,4877,0.21993683597718877,0.3448686901654298,0.973407018843763,0.10754490321349996,0.5991340260355543,0.6575376461701301
buyback,14,14,2175,0.21581295296019354,0.4495685570720192,1.2226443469169839,0.1003876836721822,0.6618454830197928,0.6430143808636407
commodities,24,24,2456,0.33170511911188333,0.9048002523808503,1.4546327792154279,0.016351499241152645,0.926574718550322,0.3124286764712546
correlation_risk_premium,15,15,4934,0.17586133905550852,0.2599363494849131,0.873701219754485,0.20869786273266966,0.5016645589509597,0.7979326891535079
country_valmom,15,15,6579,0.08330179893502611,-0.09986583684538283,0.6343104418620772,0.5618689722430412,0.31224604426513786,0.9641103105570753
crypto,28,28,2128,0.5151869834398027,0.9437630150980871,2.085918686953423,0.0014235962694874038,1.4025643463621342,0.09080611812121608
dividend_month_premium,12,12,2662,0.19399288733142764,-0.1171061456809775,1.0887883747562446,0.1422158888581927,0.582045470033701,0.7174054809273488
dividend_payment_pressure,34,34,2179,0.26660118344382827,0.40300419239275226,1.4134425748612134,0.032762345753747146,0.8528801416278727,0.422639214224656
dumb_money,12,24,70,0.47864183794411247,0.4824363799595642,5.805435267227347,0.02830004761199134,2.5664720487854837,0.40743119274575545
earnings_announcement_premium,8,8,2679,0.20616710054664278,-0.23305462611596325,1.064159871294401,0.15955351286321096,0.5590542424693996,0.7418986434235342
eigenportfolio_statarb,12,12,2886,0.5146352208942715,0.09212201159822482,1.5931377276465395,0.002156989852325042,1.10581123489337,0.11374458973401624
firesale_pressure,12,24,65,0.0,0.0,5.010078433562061,0.07924152614198055,1.6746804625842895,0.5994461708541642
funding_carry,12,12,2157,0.2976895210159374,0.8723696169421874,1.3468193474630952,0.05119275455224548,0.7835070079309056,0.5051365625030523
funding_carry_pit,12,12,2158,0.32737315052966576,0.30759884206210014,1.3961377465963043,0.037692730464823576,0.8328806670614612,0.4476246738186551
fx,36,36,3843,0.12276319225668275,0.1582321519732393,0.9008112531688348,0.23498229747833566,0.4792321404546242,0.8219116201077963
index_removal,6,6,2875,0.07248199496244415,-0.012202045552550611,0.8308472865880397,0.39164402830838174,0.3434806172506401,0.9146504035249285
inelastic_markets,24,24,92,0.1262616872678075,-0.07587262718833494,4.439354173422259,0.0656539046007647,1.6543092351227762,0.5597014723901959
