period,real_gdp_chained_millions
2000-Q3,14145312.0
2000-Q4,14229765.0
2001-Q1,14183120.0
2001-Q2,14271694.0
2001-Q3,14214516.0
2001-Q4,14253574.0
2002-Q1,14372785.0
2002-Q2,14460848.0
2002-Q3,14519633.0
2002-Q4,14537580.0
2003-Q1,14614141.0
2003-Q2,14743567.0
2003-Q3,14988782.0
2003-Q4,15162760.0
2004-Q1,15248680.0
2004-Q2,15366850.0
2004-Q3,15512619.0
2004-Q4,15670880.0
2005-Q1,15844727.0
2005-Q2,15922782.0
2005-Q3,16047587.0
2005-Q4,16136734.0
2006-Q1,16353835.0
2006-Q2,16396151.0
2006-Q3,16420738.0
2006-Q4,16561866.0
2007-Q1,16611690.0
2007-Q2,16713314.0
2007-Q3,16809587.0
2007-Q4,16915191.0
2008-Q1,16843003.0
2008-Q2,16943291.0
2008-Q3,16854295.0
2008-Q4,16485350.0
2009-Q1,16298262.0
2009-Q2,16269145.0
2009-Q3,16326281.0
2009-Q4,16502754.0
2010-Q1,16582710.0
2010-Q2,16743162.0
2010-Q3,16872266.0
2010-Q4,16960864.0
2011-Q1,16920632.0
2011-Q2,17035114.0
2011-Q3,17031313.0
2011-Q4,17222583.0
2012-Q1,17367010.0
2012-Q2,17444525.0
2012-Q3,17469650.0
2012-Q4,17489852.0
2013-Q1,17662400.0
2013-Q2,17709671.0
2013-Q3,17860450.0
2013-Q4,18016147.0
2014-Q1,17953974.0
2014-Q2,18185911.0
2014-Q3,18406941.0
2014-Q4,18500031.0
2015-Q1,18666621.0
2015-Q2,18782243.0
2015-Q3,18857418.0
2015-Q4,18892206.0
2016-Q1,19001690.0
2016-Q2,19062709.0
2016-Q3,19197938.0
2016-Q4,19304352.0
2017-Q1,19398343.0
2017-Q2,19506949.0
2017-Q3,19660766.0
2017-Q4,19882352.0
2018-Q1,20044077.0
2018-Q2,20150476.0
2018-Q3,20276154.0
2018-Q4,20304874.0
2019-Q1,20431641.0
2019-Q2,20602275.0
2019-Q3,20843322.0
2019-Q4,20985448.0
2020-Q1,20709212.0
2020-Q2,19077992.0
2020-Q3,20558879.0
2020-Q4,20791917.0
2021-Q1,21082134.0
2021-Q2,21440929.0
2021-Q3,21617828.0
2021-Q4,21988737.0
2022-Q1,21932710.0
2022-Q2,21967045.0
2022-Q3,22125625.0
2022-Q4,22278345.0
2023-Q1,22439607.0
2023-Q2,22580499.0
2023-Q3,22840989.0
2023-Q4,23033780.0
2024-Q1,23082119.0
2024-Q2,23286508.0
2024-Q3,23478570.0
2024-Q4,23586542.0
2025-Q1,23548210.0
2025-Q2,23770976.0
2025-Q3,24026834.0
2025-Q4,24055749.0
2026-Q1,24180419.0
2026-Q2,24269613.0
