family,n_specs,n_trials,n_obs,sigma_sr,best_sharpe,best_dsr,best_dsr_sharpe,req_sharpe_095,req_sharpe_050
asset_growth,12,12,2928,0.09341724946098921,0.2925586699467865,0.6801094757183415,0.2925586699467865,0.6383492262663958,0.15552210073595035
best_ideas_13f,18,36,2890,0.17158843443897145,0.6721449129263352,0.8445103862871342,0.6721449129263352,0.8546393302670484,0.36849164391327377
bonds,18,18,4877,0.21993683597718877,0.3448686901654298,0.39103555160730097,0.3448686901654298,0.7818963557840726,0.4077350065693193
buyback,14,14,2175,0.21581295296019354,0.4495685570720192,0.5867145761484508,0.4495685570720192,0.9356784502119407,0.3751797178578948
commodities,24,24,2456,0.33170511911188333,0.9048002523808503,0.7730821080711214,0.9048002523808503,1.1844230683741226,0.6567008766474657
correlation_risk_premium,15,15,4934,0.17586133905550852,0.2599363494849131,0.41021363994741245,0.2599363494849131,0.6833349337547339,0.31139478605459536
country_valmom,15,15,6579,0.08330179893502611,-0.09986583684538283,0.10312057375834893,-0.09986583684538283,0.4695157183735904,0.14750112785816905
crypto,28,28,2128,0.5151869834398027,0.9437630150980871,0.3552701584241104,0.9437630150980871,1.7362394842712436,1.0534531740292257
dividend_month_premium,12,12,2662,0.19399288733142764,-0.1171061456809775,0.0779349627908377,-0.1171061456809775,0.8294870890990781,0.3229615680154995
dividend_payment_pressure,34,34,2179,0.26660118344382827,0.40300419239275226,0.31803632500652207,0.40300419239275226,1.1265977154542675,0.5663956011065664
dumb_money,12,24,70,0.47864183794411247,0.4824363799595642,0.22740955895758985,0.4824363799595642,4.144133977414512,0.9476022420746298
earnings_announcement_premium,8,8,2679,0.20616710054664278,-0.23305462611596325,0.041346743257182676,-0.23305462611596325,0.8056964860672553,0.30080070200291287
eigenportfolio_statarb,12,12,2886,0.5146352208942715,0.09212201159822482,0.00476532375500558,0.09212201159822482,1.343773110473123,0.8567705763977802
firesale_pressure,12,24,65,0.0,0.0,,0.0,3.2989565581828377,8.673617379884035e-18
funding_carry,12,12,2157,0.2976895210159374,0.8723696169421874,0.8270444572162532,0.8723696169421874,1.058567103179277,0.4955969046681367
funding_carry_pit,12,12,2158,0.32737315052966576,0.30759884206210014,0.2814703496069221,0.30759884206210014,1.1079137933777181,0.5450145491190206
fx,36,36,3843,0.12276319225668275,0.1582321519732393,0.3397306861364592,0.1582321519732393,0.6850926452750387,0.2636378767287823
index_removal,6,6,2875,0.07248199496244415,-0.012202045552550611,0.35968311381876156,-0.012202045552550611,0.5814620234769906,0.09423679803509176
inelastic_markets,24,24,92,0.1262616872678075,-0.07587262718833494,0.06406973221683185,-0.07587262718833494,3.011691719369333,0.2499694938014806
insider_opportunistic,8,8,2898,0.22049623316005967,0.06991391650388785,0.19672226675176707,0.06991391650388785,0.8071451289575567,0.32170710820341863
ipo_lockup_expiration,24,24,1989,0.4627716091283946,-0.24239278421400204,9.499219106886657e-05,-0.24665585273119314,1.5031185953949329,0.9161827897496797
ivol,21,21,2926,0.09869577364969892,-0.11371546319840177,0.15061064570914023,-0.11371546319840177,0.6727174710926306,0.18970373214051675
jump_drift,24,24,2927,0.3841735956857708,-0.21283514002736248,0.0007134354578619946,-0.21283514002736248,1.2440316390902049,0.7605765559094638
lazy_prices,36,36,2926,0.1871290241997357,0.6034779547098553,0.7539980897081575,0.6034779547098553,0.8850376130804469,0.40186555682908026
lazy_prices_ptit_fix_verification,36,36,2926,0.18326918716823976,0.594567228691675,0.7532869753084304,0.594567228691675,0.8767414946230392,0.39357643351127797
lazy_prices_vocab_ceiling_confound,18,36,2926,0.14453141655391205,0.4483397431199828,0.5702932256826427,0.4483397431199828,0.7934843369171841,0.3103858337375739
lazy_prices_xom_hypothesis_test_fast,36,36,2926,0.18326944461238692,0.5945670558474161,0.7532861987494395,0.5945670558474161,0.8767420479569364,0.3935769863808074
liquidity_shock_delta_illiq,8,8,2925,0.11809574937256186,-0.06450664572182525,0.20963474072453148,-0.06450664572182525,0.655388667193969,0.17230336082060752
low_frequency_patterns,28,28,1416,0.4506433900798842,0.6295947678738745,0.2466925901375172,0.6295947678738745,1.6174173172985122,0.9214745808701409
margin_credit,24,24,201,0.5199515081370489,0.9769722305391436,0.45109000381888764,0.9769722305391436,2.890975476769001,1.0293860164774868
multi_signal_combination,4,332,1480,0.10388932090033882,0.2813607044078492,0.0,0.06581941451081527,0.9837179344742983,0.30410760337984716
ofi_crypto,4,4,2155,0.7388460830452912,0.4616656079438084,,0.12871596560728046,,
patterns_d2,4,4,2927,0.09317156406065333,-0.07264725493135325,,-0.07264725493135325,,
pead_ear,8,8,1920,0.21040145415358688,-0.0765504819633381,0.1448241091625958,-0.0765504819633381,0.9035213046537596,0.3069786835243108
phase_a_intraday_expanded,212,212,498,2.000696671142164,0.7994429722551513,3.113698020809872e-07,-4.4594873574056395,6.794691914568531,5.5709730249298195
quality_cbop,9,9,2926,0.12505064590307358,0.4565286659064418,0.8173935191490574,0.4565286659064418,0.6731883373788016,0.19017429502269287
quality_noa,9,9,2926,0.07663342595843885,0.6591133900792794,0.9679357604380524,0.6591133900792794,0.5995115915187209,0.11654244287643169
quality_noa_industry_neutral,9,18,2926,0.13681880195808277,0.3002531945560903,0.5631293450400577,0.3002531945560903,0.7367016215827764,0.25364471061578436
quarter_end_marking,18,36,2932,0.4624017590034776,0.43663668006781375,0.010176680435968564,0.43663668006781375,1.476366951164065,0.9930225477066381
rebalancing_pressure,24,24,5810,0.21041952053070642,0.5658221992153784,0.8012863959399854,0.5658221992153784,0.7593705403331062,0.41658290944145976
residual_momentum,18,18,2929,0.12315746711679662,0.32619252730718185,0.6303394629830836,0.32619252730718185,0.7111099796504112,0.2283183280364005
round_c,30,30,2927,0.2543766747550032,0.2762985583535708,0.198281903449667,0.2762985583535708,1.010626032161192,0.527422640758909
same_calendar_month_seasonality,8,8,2925,0.21362798992125143,0.23047895130158805,0.39116367994824375,0.23047895130158805,0.7948684024031353,0.3116862446307029
