symbol,median_dollar_volume,median_close,daily_vol_bp,tick_floor_half_bp,edge_raw_half_bp
FRSH,53294948.6,11.05,306.9463883295373,4.525,46.438
FRST,1649806.4,13.6,179.20417552996935,3.676,25.146
FSBC,3192567.4,39.49,151.4202958330855,1.266,27.165
FSBW,526669.7,41.21,164.09755725946815,1.213,47.328
FSCO,6625847.4,5.25,177.494641493387,9.524,30.308
FSEA,33346.5,12.9,286.13877163618963,3.876,68.449
FSI,155308.8,6.31,304.7404101985933,7.924,62.883
FSK,34207286.6,12.26,209.98534608645733,4.078,24.546
FSLR,471095560.5,227.83,331.3718522465792,0.219,50.001
FSLY,83897437.1,17.41,709.1355848220367,2.872,109.048
FSM,70612345.2,9.56,363.89707676476536,5.23,51.373
FSP,327322.1,0.6844,357.0589838739203,73.057,75.187
FSS,45528246.0,116.02,216.42748089014066,0.431,48.691
FSTR,1064630.8,29.97,233.67797236431161,1.668,52.07
FSUN,6413207.0,37.92,236.0171746831054,1.319,51.932
FTAI,261738565.0,223.49,388.5494908430846,0.224,40.701
FTCI,580374.2,5.51,694.7954773892341,9.074,135.311
FTDR,34478055.3,63.47,287.5229564119115,0.788,46.786
FTEK,272010.7,1.53,444.87516670503686,32.68,41.516
FTF,1014905.9,5.97,51.21993013283241,8.375,18.776
FTFT,66163.7,1.34,783.7505513586123,37.313,162.132
FTH,760942.0,16.77,748.3754759934476,2.982,234.377
FTHM,133571.1,0.9978,737.3725206105346,50.11,130.088
FTI,220943796.4,64.9,199.23160781832834,0.77,28.599
FTK,5387898.1,17.18,483.88129935712965,2.91,79.324
FTLF,207524.8,14.36,321.40810574705864,3.482,90.415
FTNT,518458494.4,84.31,252.74046541660383,0.593,55.891
FTRE,16893557.8,13.7,461.41223386142264,3.65,75.013
FTV,157718203.1,56.35,166.77894523612798,0.887,40.216
FTW,648373.4,10.57,221.30152137826636,4.73,38.107
FUBO,23108332.5,4.16,483.581762971383,12.019,90.866
FUL,28538447.5,59.71,215.4375112476466,0.837,43.643
FULC,5805657.8,7.67,490.1269703235301,6.519,71.552
FULT,35368683.4,20.77,159.54085888598337,2.407,30.848
FUN,41036341.4,18.01,428.0282296537328,2.776,75.105
FUNC,572508.0,37.85,169.79756298188317,1.321,46.51
FURY,242174.7,0.5997,440.5768089564185,83.375,103.91
FUSB,43961.1,15.29,189.47371127824678,3.27,79.897
FUSE,99198.4,1.42,822.7053757238082,35.211,161.221
FVCB,873537.8,15.33,147.31681379098217,3.262,34.686
FVR,2062120.1,16.36,161.71258434763521,3.056,45.055
FVRR,10729445.2,11.45,343.42418524961033,4.367,57.929
FWDI,5434153.9,5.07,719.7849451702709,9.862,96.22
FWONA,11503475.1,86.15,152.15970578037528,0.58,26.161
FWONK,156638015.8,93.77,157.86567120919085,0.533,28.907
FWRD,12908622.1,20.13,577.0205655113135,2.484,51.672
FWRG,16435844.3,13.12,337.4040598786921,3.811,35.205
FXNC,990582.6,26.72,144.56436529564562,1.871,35.007
G,79513803.7,38.12,239.6658424143903,1.312,24.749
GABC,5265867.0,42.07,137.22612450950996,1.188,26.52
GAIA,206098.6,3.15,453.81286224781667,15.873,46.368
GAIN,2752238.7,14.13,127.94794967950334,3.539,25.43
GALT,1124738.9,3.49,598.2003671992742,14.327,59.765
GAM,1316324.5,62.52,100.17672696028482,0.8,19.907
GAME,606677.0,0.444,591.0122448202875,112.613,121.071
GANX,1212351.8,1.89,601.52649761513,26.455,63.831
GAP,174640229.0,23.48,297.40105943186137,2.129,34.982
GASS,916744.5,8.38,200.73676011119755,5.967,31.467
GATX,32308744.4,175.17,145.8008745216141,0.285,24.933
GAU,6608493.5,2.39,440.41251299920754,20.921,41.138
GBCI,41683061.0,47.7,177.16922645756642,1.048,24.788
GBDC,21390674.6,13.21,130.95799024573105,3.785,23.517
GBFH,1657835.8,31.25,322.0948181138844,1.6,59.811
GBLI,84398.4,28.14,171.32840576726383,1.777,98.156
GBR,34367.8,0.7959,438.72622891593346,62.822,185.397
GBTG,9885479.5,7.99,354.23083855160786,6.258,50.682
GBX,15315470.2,47.67,198.1907381109736,1.049,24.155
GCBC,307171.3,23.54,212.18280081903046,2.124,67.525
GCDT,71519.8,0.8007,1044.7693938282669,62.445,418.429
GCMG,6076828.9,11.59,213.40519253753658,4.314,32.96
GCO,5625055.0,32.45,403.0345815640029,1.541,58.869
GCTK,206263.7,1.55,884.5092382114525,32.258,180.323
GCTS,1474754.2,1.44,596.5778886430782,34.722,139.724
GD,411227446.7,346.5,138.45482366388137,0.144,27.524
GDC,274436.0,3.64,1008.5035493831463,13.736,104.944
GDDY,175469917.8,96.09,297.86316923897624,0.52,53.509
GDOT,6300471.2,12.76,182.18768834323353,3.918,32.344
GDRX,5197334.3,2.79,379.61394075591613,17.921,56.12
GDS,66013879.1,35.74,365.86322527557,1.399,45.398
GDYN,9406539.4,7.56,356.7412744792058,6.614,59.487
GE,1382625134.2,309.02,206.4439192856664,0.162,18.796
GECC,502849.7,6.16,286.3536979461158,8.117,38.12
GEF,14716189.2,68.09,151.10541210689186,0.734,24.532
GEG,19733.3,2.2,306.36173260021565,22.727,146.577
GEHC,257301233.8,73.31,221.09514604786682,0.682,11.029
GEL,3880770.9,16.09,171.93589491074226,3.108,32.383
GEMI,11838566.8,6.0,624.3807816367408,8.333,105.152
GEN,124627412.2,26.16,217.1017625009822,1.911,13.88
GENB,8021226.4,13.6225,562.7301780910906,3.67,33.995
GENC,375703.1,14.73,241.6387642311902,3.394,53.175
GENI,38686382.0,7.42,443.018186096176,6.739,75.726
GENK,74770.7,2.08,451.49587780040156,24.038,138.245
GEO,36459660.5,18.48,305.0609136985188,2.706,55.444
GEOS,2289610.6,10.44,641.8519580254813,4.789,23.592
GERN,13918218.2,1.38,398.4866436782109,36.232,63.431
GETY,1529676.5,0.9401,598.1405751825041,53.186,282.448
GEV,2107364210.0,842.0,323.6040991509862,0.059,46.299
GEVO,6068975.8,1.91,401.19759295538154,26.178,48.583
GFF,25559579.2,82.72,224.2784758209167,0.604,35.404
GFI,143846749.2,42.27,395.5971160047352,1.183,62.622
GFR,714449.8,5.68,310.118718263691,8.803,51.7
GGB,64523129.4,4.12,220.3084943031818,12.136,30.337
GGG,87903912.0,82.49,125.86658576534028,0.606,16.702
GH,196714294.7,101.85,352.8212843351185,0.491,50.672
GHC,22500111.1,1119.88,164.15835156329047,0.045,31.728
GHM,10088621.4,82.08,341.28688783427447,0.609,42.028
GIB,30171417.4,74.77,199.08191628239226,0.669,26.749
GIC,3047020.5,32.59,204.28789603937892,1.534,28.993
GIFT,36020.1,1.01,422.03673232782603,49.505,186.392
GIII,13314697.4,29.98,224.3778831665853,1.668,61.743
GIL,63804725.0,57.86,248.9786582334038,0.864,20.151
GILD,833034602.4,130.28,166.33191661345984,0.384,29.915
GIPR,89140.2,0.651,988.7910066070906,76.805,102.765
GIS,310477571.3,42.95,175.57784532590233,1.164,23.208
GITS,53038.4,2.04,876.5033833637924,24.51,179.322
GIX,31783.0,9.94,8.755535854278756,5.03,43.235
GJH,1978.0,9.7,84.0997413795891,5.155,71.319
GJS,7204.1,23.35,67.26628167754808,2.141,37.16
GKOS,92373513.0,116.18,322.35206042761666,0.43,85.225
GL,74299224.4,143.65,127.27540446478724,0.348,26.723
GLAD,3522551.9,19.48,166.28063799693237,2.567,19.177
GLBS,121040.0,1.93,461.2437618369535,25.907,102.97
GLDG,2355012.1,1.24,445.3072388088749,40.323,74.086
GLDI,2932287.5,167.45,115.60977472102822,0.299,22.008
GLIBA,1439894.6,35.73,257.8780414177907,1.399,52.238
GLIBK,13442289.7,35.51,255.62986142761548,1.408,35.404
GLND,1528051.1,10.03,820.5606112187739,4.985,12.26
GLNG,55481514.7,45.75,180.27412309361395,1.093,21.622
GLOB,69521712.0,48.43,367.19318282984625,1.032,50.902
GLOO,424102.5,5.565,533.3772504602321,8.985,130.202
GLP,2363572.8,47.34,184.9000136594091,1.056,47.451
