,rebal_threshold_scaled_h1,rebal_threshold_scaled_h5,rebal_threshold_sign_h1,rebal_threshold_sign_h5,rebal_threshold_1sided_scaled_h1,rebal_threshold_1sided_scaled_h5,rebal_threshold_1sided_sign_h1,rebal_threshold_1sided_sign_h5,rebal_calendar_scaled_h1,rebal_calendar_scaled_h5,rebal_calendar_sign_h1,rebal_calendar_sign_h5,rebal_calendar_week4_scaled_h1,rebal_calendar_week4_scaled_h5,rebal_calendar_week4_sign_h1,rebal_calendar_week4_sign_h5,rebal_paper_combined_scaled_h1,rebal_paper_combined_scaled_h5,rebal_paper_combined_sign_h1,rebal_paper_combined_sign_h5,rebal_trailing21_ctrl_scaled_h1,rebal_trailing21_ctrl_scaled_h5,rebal_trailing21_ctrl_sign_h1,rebal_trailing21_ctrl_sign_h5
2003-08-04,0.0015866343208526265,0.003023874386709492,0.006921459738515379,0.006921459738515379,0.0016709674430388625,0.002788609802613215,0.006921459738515379,0.006921459738515379,0.005499600987037535,0.006382876977137568,0.006921459738515379,0.006921459738515379,-0.007307042801189664,0.003982374921281485,-0.0077773501494742825,0.004152875843109228,-0.002997258297162196,0.0035883751149093594,-0.0077773501494742825,0.004152875843109228,0.00423955593199874,0.00620872062419942,0.006921459738515379,0.006921459738515379
2003-08-05,0.001738178718696027,0.0049062555224851185,0.014509110758584368,0.014509110758584368,0.0019151162272222576,0.00485450809400504,0.014509110758584368,0.014509110758584368,-0.002068043954794566,0.010228993292951512,-0.01532774089557067,0.00854546645515062,-0.0003758114350391484,0.005546546723841951,-0.0004,0.005723644303433747,0.0007116889129041976,0.005314949912959432,0.013709110758584367,0.00870546645515062,0.0081009989073457,0.012205118178003167,0.014509110758584368,0.014509110758584368
2003-08-06,-0.000523464544268161,0.0008820978260421949,-0.005236117049931562,0.002490492147767156,-0.0005185610859522599,0.0008921584991680802,-0.005236117049931562,0.002490492147767156,-0.0016627300959702342,0.0018154098357917939,-0.004436117049931561,0.000723497382589052,-0.0,0.0007275309850093231,-0.0,0.000803497382589052,-0.0002617322721340805,0.0008427976043156233,-0.005236117049931562,0.000723497382589052,-0.0005838296787990771,0.00260816703416068,-0.005236117049931562,0.002490492147767156
2003-08-07,0.000718590110841238,-0.0008583741911211626,0.006932651740258215,-0.0015502563754489032,0.0010663991949163892,-0.0008396738354563861,0.006932651740258215,-0.0015502563754489032,0.0029119643982672768,-0.0013517847031106775,0.006932651740258215,0.001226530348051643,0.0,-0.000151106743722576,0.0,-8e-05,0.000359295055420619,-0.0004691870955605813,0.006932651740258215,0.001226530348051643,0.001406569827674089,-0.0027157776376466117,0.006932651740258215,-0.0015502563754489032
2003-08-08,-0.00024975753951548624,-0.00015653547696775164,-0.003785145079911252,-0.0005970290159822505,8.596529071271162e-05,-8.674773178140406e-05,0.0029665149429249507,0.0004333029885849902,0.0008851546502374346,0.00014041960951579154,0.0029665149429249507,0.0016199089657549703,0.0,0.0004775107383808621,0.0,0.0005133029885849901,-0.00012487876975774312,0.00017877755713974664,-0.003785145079911252,0.0005933029885849901,-0.00015061160948689494,-0.0006196886905675434,-0.003785145079911252,-0.0005970290159822505
2003-08-11,-0.0008372126271909368,-0.00014579671864727178,-0.007950062672793424,-0.0015900125345586849,-1.0129395795422567e-05,0.0002389743553969688,0.007894172261834519,0.004576503357100713,0.0020776377213794083,0.00224206031612582,0.007894172261834519,0.0077341722618345194,0.0,-7.516228700782968e-05,0.0,-8e-05,-0.0004186063135954684,-0.00010281643011763248,-0.007950062672793424,-0.0017500125345586849,-0.002564711337722653,-0.0009820021311760113,-0.007950062672793424,-0.0015900125345586849
2003-08-12,-0.0025387210212436456,-0.0004245313446078118,-0.010921542507366253,-0.0021843085014732508,-0.0014034895967697495,0.00037992841328477096,-0.011721542507366253,0.00654174742222797,0.0014593188666748023,0.003258392280966295,0.01090291237037995,0.01090291237037995,0.0,0.0,0.0,0.0,-0.0012693605106218228,-0.00021226567230390577,-0.010921542507366253,-0.0021843085014732508,-0.0037327518132699916,-0.0008543122946331731,-0.010921542507366253,-0.0021843085014732508
2003-08-13,-0.0023746590528928527,-0.0008472453231247668,-0.005998682109263949,-0.0037592092655583695,-0.001822389942240168,-0.0002878154985057127,-0.005998682109263949,0.0010360103944555298,-0.00028294719166728456,0.001291640811648509,-0.00679868210926395,0.0034280311833665886,0.0,0.0,0.0,0.0,-0.0011873295264464264,-0.00042362266156238334,-0.005998682109263949,-0.0037592092655583695,-0.0020603185755514574,-0.0009941522273015772,-0.005998682109263949,-0.0037592092655583695
2003-08-14,-0.0003097060713423482,-0.00020709965414135285,-0.000681342139280102,-0.000841342139280102,-0.0002961214975680183,-0.00014581990447563276,-0.000681342139280102,-0.00029626842785602045,-0.00012859224139354195,2.837713209374725e-05,-0.000681342139280102,-2.7457599541239844e-05,0.0,0.0,0.0,0.0,-0.0001548530356711741,-0.00010354982707067643,-0.000681342139280102,-0.000841342139280102,-0.0002092080347907152,-0.00020996830709557113,-0.000681342139280102,-0.000841342139280102
2003-08-15,-0.0013642853703827464,-0.0010954317996626042,-0.0034926421552470685,-0.0034926421552470685,-0.0013615078765053974,-0.000863581016231752,-0.0034926421552470685,-0.002255585293148241,-0.0005029685534659516,2.8613006292807494e-05,-0.0034926421552470685,-0.0008585284310494138,0.0,0.0,0.0,0.0,-0.0006821426851913732,-0.0005477158998313021,-0.0034926421552470685,-0.0034926421552470685,-0.001320950210319967,-0.0011544815431324099,-0.0034926421552470685,-0.0034926421552470685
2003-08-18,-0.00248426292668653,-0.002131527865184406,-0.00564507426344264,-0.00564507426344264,-0.0024950235365632473,-0.0018709935628166015,-0.00564507426344264,-0.0058050742634426404,-0.0011417342025103875,-0.00045510287705978063,-0.00564507426344264,-0.0035470445580655843,0.0,0.0,0.0,0.0,-0.001242131463343265,-0.001065763932592203,-0.00564507426344264,-0.00564507426344264,-0.003572659274969811,-0.0021925186974937594,-0.00564507426344264,-0.00564507426344264
