,divpay_raw_payment_top10,divpay_raw_payment_top63,divpay_raw_payment_top84,divpay_raw_payment_top126,divpay_raw_ex_date_top10,divpay_raw_ex_date_top63,divpay_raw_ex_date_top84,divpay_raw_ex_date_top126,divpay_mktcap_payment_top10,divpay_mktcap_payment_top63,divpay_mktcap_payment_top84,divpay_mktcap_payment_top126,divpay_mktcap_ex_date_top10,divpay_mktcap_ex_date_top63,divpay_mktcap_ex_date_top84,divpay_mktcap_ex_date_top126,divpay_abnormal_payment_top10,divpay_abnormal_payment_top63,divpay_abnormal_payment_top84,divpay_abnormal_payment_top126,divpay_abnormal_ex_date_top10,divpay_abnormal_ex_date_top63,divpay_abnormal_ex_date_top84,divpay_abnormal_ex_date_top126,divpay_future_ph_payment_top10,divpay_future_ph_payment_top63,divpay_future_ph_payment_top84,divpay_future_ph_payment_top126,divpay_future_ph_ex_date_top10,divpay_future_ph_ex_date_top63,divpay_future_ph_ex_date_top84,divpay_future_ph_ex_date_top126,tom_ctrl_4d,tom_ctrl_1d
2018-01-03,0.005978126351589477,0.004668867274588475,0.004150104244078646,0.0031125781830589837,-0.00025533616804012375,0.004668867274588475,0.004150104244078646,0.0031125781830589837,,,,,,,,,,,,,,,,,0.005978126351589477,0.004668867274588475,0.004150104244078646,0.0031125781830589837,0.005978126351589477,0.004668867274588475,0.004150104244078646,0.0031125781830589837,0.005039412296381212,0.005928720348683778
2018-01-04,0.004047571488180292,0.0031611198812647734,0.002809884338902021,0.0021074132541765156,-0.00016762466574786434,0.0031611198812647734,0.002809884338902021,0.0021074132541765156,,,,,,,,,,,,,,,,,0.004047571488180292,0.0031611198812647734,0.002809884338902021,0.0021074132541765156,0.004047571488180292,0.0031611198812647734,0.002809884338902021,0.0021074132541765156,0.0034120024115238826,-0.00030114959889743724
2018-01-05,0.006399623205909774,0.00499805283436755,0.004442713630548934,0.0033320352229117,0.0062996232059097735,0.00499805283436755,0.004442713630548934,0.0033320352229117,,,,,,,,,,,,,,,,,0.006399623205909774,0.00499805283436755,0.004442713630548934,0.0033320352229117,-0.000364816885488752,0.00499805283436755,0.004442713630548934,0.0033320352229117,0.005394723694237991,-0.00031778026258650244
2018-01-08,0.0017561213758249402,0.001371516281119478,0.001219125583217314,0.0009143441874129854,0.0017561213758249402,0.001371516281119478,0.001219125583217314,0.0009143441874129854,,,,,,,,,,,,,,,,,0.0017561213758249402,0.001371516281119478,0.001219125583217314,0.0009143441874129854,0.0016561213758249402,0.001371516281119478,0.001219125583217314,0.0009143441874129854,-0.0004536444914867472,-8.84111228716868e-05
2018-01-09,0.0021735985220509278,0.0016975624820976254,0.0015089444285312228,0.001131708321398417,-0.00019018776632103113,0.0016975624820976254,0.0015089444285312228,0.001131708321398417,,,,,,,,,,,,,,,,,0.0021735985220509278,0.0016975624820976254,0.0015089444285312228,0.001131708321398417,0.0021735985220509278,0.0016975624820976254,0.0015089444285312228,0.001131708321398417,-0.00043290127834094943,-0.00010822531958523736
2018-01-10,-0.0014691710339736186,-0.0011474104356240244,-0.0010199203872213551,-0.0007649402904160163,-0.0015691710339736187,-0.0011474104356240244,-0.0010199203872213551,-0.0007649402904160163,,,,,,,,,,,,,,,,,-0.0014691710339736186,-0.0011474104356240244,-0.0010199203872213551,-0.0007649402904160163,-0.0014691710339736186,-0.0011474104356240244,-0.0010199203872213551,-0.0007649402904160163,0.000289631526159787,7.240788153994675e-05
2018-01-11,0.007006548062332204,0.0054720561313255645,0.004864049894511614,0.0036480374208837096,0.007006548062332204,0.0054720561313255645,0.004864049894511614,0.0036480374208837096,,,,,,,,,,,,,,,,,0.007006548062332204,0.0054720561313255645,0.004864049894511614,0.0036480374208837096,0.007006548062332204,0.0054720561313255645,0.004864049894511614,0.0036480374208837096,-0.0013915028400496325,-0.0003478757100124081
2018-01-12,0.006260281917561407,0.004889228439748372,0.004345980835331887,0.0032594856264989147,0.006260281917561407,0.004889228439748372,0.004345980835331887,0.0032594856264989147,,,,,,,,,,,,,,,,,0.006260281917561407,0.004889228439748372,0.004345980835331887,0.0032594856264989147,-0.00035905898101154683,0.004889228439748372,0.004345980835331887,0.0032594856264989147,-0.0012434831088554248,-0.0003108707772138562
2018-01-16,-0.0032826470417685553,-0.002563720210306847,-0.002278862409161642,-0.0017091468068712312,-0.0032826470417685553,-0.002563720210306847,-0.002278862409161642,-0.0017091468068712312,,,,,,,,,,,,,,,,,-0.0032826470417685553,-0.002563720210306847,-0.002278862409161642,-0.0017091468068712312,0.00013416798967340714,-0.002563720210306847,-0.002278862409161642,-0.0017091468068712312,0.0006440063504323543,0.00016100158760808857
2018-01-17,0.009153420387232086,0.007148745674325885,0.006354440599400787,0.00476583044955059,-0.00047861015744421947,0.007148745674325885,0.006354440599400787,0.00476583044955059,,,,,,,,,,,,,,,,,0.009153420387232086,0.007148745674325885,0.006354440599400787,0.00476583044955059,0.009053420387232086,0.007148745674325885,0.006354440599400787,0.00476583044955059,-0.0018173287557322535,-0.00045433218893306337
