horizon,pattern_id,k,code,label,t_stat,mean,sharpe_annualized,n_bars,mean_names
1,7,3,7,DUF,2.817296270115803,0.00012909567702568527,5.493336050085351,2241,8.547523427041499
1,16,3,16,FUF,-1.979195423165133,-8.348988544259148e-05,-3.437673409186779,2900,7.7027586206896554
1,12,3,12,FFD,1.9294746432759318,7.614506928101892e-05,3.1876377048554794,3152,7.944479695431472
1,14,3,14,FFU,-1.9215120900581744,-9.401229775508863e-05,-3.36054702698485,2904,7.703512396694215
1,22,3,22,UFF,1.3543947849120008,6.964392605908914e-05,2.230579831211332,3188,7.883939774153074
1,13,3,13,FFF,1.1078509911667087,2.910869296771617e-05,1.2560073456997944,6784,8.058225235849056
1,4,3,4,DFF,0.6072938007543179,2.4715913127401325e-05,1.0492089313561117,2854,7.7662929222144355
1,11,3,11,FDU,0.48303871195943254,2.4798309098525376e-05,0.9613898957466818,2172,8.323204419889503
1,10,3,10,FDF,0.3473065869459835,1.5740214402275053e-05,0.6120142767446733,2872,7.689066852367688
5,14,3,14,FFU,-1.635282406040397,-0.00017777784400063487,-2.8057502526012756,2904,7.703512396694215
5,11,3,11,FDU,-1.4921239583616164,-0.00015675712795408574,-2.863938274984831,2172,8.323204419889503
5,7,3,7,DUF,1.0649890312476447,0.00011179718596628558,2.0584472988764437,2241,8.547523427041499
5,22,3,22,UFF,0.9500908176081747,9.187645520002408e-05,1.5460344970469218,3188,7.883939774153074
5,4,3,4,DFF,0.6766003095101119,6.761907143212508e-05,1.1762358741290089,2854,7.7662929222144355
5,12,3,12,FFD,0.6545067668873286,5.713135317980838e-05,1.06175671005902,3151,7.944779435099968
5,10,3,10,FDF,-0.3329634502411983,-3.074666031519243e-05,-0.5828645500007439,2871,7.689306861720655
5,13,3,13,FFF,0.2976436247969371,2.0570666555417955e-05,0.3980508292944619,6781,8.059135820675417
5,16,3,16,FUF,-0.08829620277002936,-8.981796311695194e-06,-0.15997736933633314,2900,7.7027586206896554
