horizon,pattern_id,k,code,label,t_stat,mean,sharpe_annualized,n_bars,mean_names
1,64,5,37,DFFDF,2.8843494441088264,0.0012461367252361182,2.707238905190622,299,21.622073578595316
1,187,5,160,FUUUF,-2.633731769207477,-0.0012039772489533965,-2.3707112291522945,289,20.096885813148788
1,6,3,6,DUD,2.50126883460626,0.0005741522877928586,1.1914038398007567,1122,50.401069518716575
1,23,3,23,UFU,-2.493091486284326,-0.0005013491562255587,-1.0681393387449474,1447,59.180373185901864
1,205,5,178,UDFUF,2.3267669172610184,0.0009870497036117733,2.2427799774051604,268,22.992537313432837
1,17,3,17,FUU,-2.2942168552045645,-0.0004466287536196684,-0.9188290769987865,1484,54.84299191374663
1,12,3,12,FFD,2.057427356554863,0.00035821307932157846,0.8369069723771294,1617,67.74891774891775
1,20,3,20,UDU,-2.0240156599950763,-0.00047413566993864355,-0.9355353730070922,1218,49.33251231527094
1,229,5,202,UFFFF,-1.833345086525509,-0.0003673503924873919,-0.9434393516774348,971,29.17198764160659
1,3550,8,3280,FFFFFFFF,-1.7599249644988448,-0.0005109258764372477,-1.1218750261321813,679,19.209131075110456
1,4,3,4,DFF,1.7588564177124586,0.0003200301391432547,0.7033176644176682,1615,64.51764705882353
1,153,5,126,FFUDD,-1.726785635869453,-0.0008263144052230533,-1.7643996738453342,252,22.884920634920636
1,151,5,124,FFFUF,-1.7106725505278784,-0.00034488522052863893,-0.863657902145036,926,25.76889848812095
1,256,5,229,UUFFF,1.6806876765321972,0.00048215111661598125,1.1613027753320293,556,24.74820143884892
1,124,5,97,FDFUF,1.632261923804213,0.0005636332234137204,1.2701011465225533,408,22.889705882352942
1,152,5,125,FFFUU,1.6318433643492385,0.0006624794398586148,1.0658707300035275,561,21.098039215686274
1,25,3,25,UUF,-1.574086782074807,-0.00030618140296500017,-0.6549982124961472,1462,58.172366621067034
1,167,5,140,FUDFU,-1.5622465539813968,-0.0006637718256797332,-1.4300419348598128,274,21.525547445255473
1,232,5,205,UFFUF,-1.4861679769875356,-0.0004483759908127182,-1.0652089400819709,526,23.836501901140686
1,67,5,40,DFFFF,1.4484957357944892,0.00034878792012011604,0.8250710388660785,793,22.694829760403533
1,177,5,150,FUFUD,1.4108227036316294,0.0007351993619003464,1.2602798090241898,282,20.081560283687942
1,211,5,184,UDUFF,1.3963101453093434,0.0005925530473724343,1.1670688225421293,319,22.310344827586206
1,226,5,199,UFFDF,-1.3846200089046667,-0.0005483804573037872,-1.0762015372589044,419,23.7708830548926
1,154,5,127,FFUDF,-1.338054522968074,-0.0004708343603593369,-1.0321694193566038,452,22.201327433628318
1,223,5,196,UFDUF,1.3246607453694046,0.0007150144587092262,1.2925661561583022,283,22.83745583038869
1,130,5,103,FDUFF,-1.2801766725754984,-0.00040080180476303914,-0.9904461646639754,453,23.525386313465784
1,40,5,13,DDFFF,1.264500123319007,0.0005945296935119706,1.1962343138686882,286,20.143356643356643
1,145,5,118,FFFDF,1.263024411644094,0.0007236233196480278,0.749675510153643,732,24.580601092896174
1,139,5,112,FFDFF,1.258551198758789,0.0003141072247035352,0.740069957786863,739,23.722598105548037
1,8,3,8,DUU,-1.2345536091483573,-0.0002686471938823475,-0.5466326676085893,1178,49.973684210526315
1,10,3,10,FDF,1.217237990628172,0.0002309492690561323,0.4861042289057331,1617,64.17254174397031
1,0,3,0,DDD,1.204134234393569,0.00042873807318558955,0.6439935375796485,964,49.99066390041494
1,58,5,31,DFDFF,1.2009718993612293,0.0006370524156867983,1.1455771190309367,293,21.341296928327644
1,179,5,152,FUFUU,-1.1903778728515297,-0.0005148755157896771,-1.0770794331056326,297,21.77777777777778
1,103,5,76,DUUFF,-1.1851484673574755,-0.0005264096591648366,-1.0937815505125503,283,25.392226148409893
1,22,3,22,UFF,-1.1719635380521793,-0.00017954644408011826,-0.4583356565727687,1632,80.87438725490196
1,175,5,148,FUFFF,1.1503907219030511,0.0002562009277871757,0.5981611993001339,933,27.359056806002144
1,13,3,13,FFF,1.131902584110616,0.0001473080512570093,0.43091291060442743,1726,135.08980301274624
1,184,5,157,FUUFF,-1.126812291136298,-0.0003604596891239885,-0.8299410982986284,506,23.41106719367589
1,76,5,49,DFUFF,-1.0833034384301405,-0.0004355420903257919,-0.8703966190114006,409,22.69437652811736
1,148,5,121,FFFFF,1.0732751465393733,0.0006516041365181998,0.429477610155492,1548,44.70671834625323
1,68,5,41,DFFFU,1.0337520610019606,0.000426667620933476,0.834757795221071,376,23.257978723404257
1,142,5,115,FFDUF,-0.9941319040934143,-0.0003124004797892537,-0.7500265700088139,455,23.345054945054944
1,18,3,18,UDD,0.9411398005484201,0.00023390988065847323,0.4490737568707858,1085,47.9852534562212
1,185,5,158,FUUFU,-0.9333655056268565,-0.000456133289603438,-0.8640031822682154,302,19.781456953642383
1,19,3,19,UDF,-0.9208047607421076,-0.00017349888300988625,-0.38548371553315974,1431,53.884696016771485
1,16,3,16,FUF,-0.91766673679296,-0.0001377493714875978,-0.3516933403014748,1633,77.74586650336803
1,159,5,132,FFUUD,-0.9090014043636145,-0.0004105231108105694,-0.8674694377541904,280,20.582142857142856
1,140,5,113,FFDFU,-0.8753396168933779,-0.0003156044447552499,-0.6945320154339896,392,22.831632653061224
1,144,5,117,FFFDD,-0.8699576251000657,-0.00050324528008193,-0.7092585873753083,390,22.246153846153845
1,160,5,133,FFUUF,-0.8145120331609748,-0.0002944360912949846,-0.6024396469966338,495,22.02020202020202
1,2,3,2,DDU,0.7935814757863004,0.00026650384051033686,0.3929361305895094,1081,52.733580018501385
1,146,5,119,FFFDU,0.7852250634456385,0.00028103974754207,0.6134395360509133,447,24.83668903803132
1,220,5,193,UFDFF,0.772045048899056,0.00027422116252792065,0.6226378196511404,419,23.0763723150358
1,94,5,67,DUFFF,0.7708706134233528,0.00022741211023804148,0.5537959845224184,504,22.765873015873016
1,231,5,204,UFFUD,0.7439937367356338,0.0003190972767004045,0.6843052178542054,275,22.312727272727273
1,230,5,203,UFFFU,-0.7247205256508509,-0.00020102791080341739,-0.4895129082664598,548,23.08211678832117
1,173,5,146,FUFDU,-0.6582371742715613,-0.0002854429003161439,-0.645300790674949,260,23.45
1,26,3,26,UUU,-0.6230248485136094,-0.0001635233499284501,-0.27622830388129593,1277,45.39389193422083
1,147,5,120,FFFFD,-0.6143658811716307,-0.00013351797714819595,-0.34594641864813064,811,26.23304562268804
1,157,5,130,FFUFF,-0.591272535065584,-0.00011871642376809435,-0.3136057045709364,900,26.59888888888889
1,257,5,230,UUFFU,0.5788039240395995,0.0002825373095825525,0.543810261147683,303,21.904290429042906
1,238,5,211,UFUFF,-0.5606285539321034,-0.00017401515875368283,-0.37981465036338435,544,25.481617647058822
1,121,5,94,FDFFF,0.5561765224790459,0.00014140866165977,0.32622052981743443,740,22.852702702702704
1,158,5,131,FFUFU,-0.5481349353376576,-0.00018579878637188274,-0.3896034657429617,502,23.59163346613546
1,141,5,114,FFDUD,0.5449472951478025,0.00032437054896442116,0.5288284713448815,256,23.0390625
1,120,5,93,FDFFD,0.5255721154187352,0.00019605869662852452,0.4746041395817106,335,21.88955223880597
1,97,5,70,DUFUF,0.5133661797261326,0.00023317898429419488,0.49790729484376806,280,27.053571428571427
1,176,5,149,FUFFU,0.4909203599789501,0.0001740867525494387,0.34895187095730185,516,22.160852713178294
1,143,5,116,FFDUU,0.4799170745846505,0.00020270000641261224,0.44991353058820766,278,22.820143884892087
1,9,3,9,FDD,0.4723846353948192,0.00010356200297861186,0.2079792533908639,1317,50.2672741078208
1,253,5,226,UUFDF,0.46537565846751966,0.0002455971333058123,0.4568609530540898,251,24.00796812749004
1,155,5,128,FFUDU,-0.4598172587010484,-0.0001974682085360824,-0.4194370865445039,291,22.116838487972508
1,161,5,134,FFUUU,-0.44197213286189246,-0.00021274911792156515,-0.4055156552924607,304,19.549342105263158
1,3,3,3,DFD,0.41848954837325925,8.7801166808045e-05,0.18262774598839512,1287,50.36674436674436
1,181,5,154,FUUDF,-0.41671705275540205,-0.0001854847421508231,-0.41857994585974356,262,21.545801526717558
1,239,5,212,UFUFU,0.40768712222760195,0.00016919601051926865,0.37913011863249657,308,22.49025974025974
1,136,5,109,FFDDF,-0.4076757419218579,-0.0001377594505845767,-0.32915319620038597,314,21.50955414012739
1,70,5,43,DFFUF,0.40302551374593404,0.0001499989019797214,0.3186772815455466,398,24.728643216080403
1,259,5,232,UUFUF,0.37767014763066825,0.0001473842810107016,0.35623132410116,308,21.574675324675326
1,221,5,194,UFDFU,-0.36536764756204115,-0.0001610019810865677,-0.3659125034597916,261,20.919540229885058
1,166,5,139,FUDFF,0.34308007078760905,0.00011424292880753469,0.26723039538549215,464,21.512931034482758
1,203,5,176,UDFFU,0.3329641320094933,0.00015370602847613192,0.30158429071636894,280,22.03214285714286
1,265,5,238,UUUFF,-0.331781722923306,-0.000147647451280618,-0.3012843513229413,322,22.385093167701864
1,118,5,91,FDFDF,0.3316541764688975,0.0001562205289822559,0.30134652311802995,310,21.16774193548387
1,172,5,145,FUFDF,0.33125169247424396,0.00012039889504835144,0.26739588758064675,418,21.875598086124402
1,233,5,206,UFFUU,0.3094725647136639,0.00014746884359118472,0.2847312724436622,289,21.73356401384083
1,138,5,111,FFDFD,-0.3037736777769438,-0.00013614652833374955,-0.26115139918029756,348,23.528735632183906
1,178,5,151,FUFUF,0.29176840525668774,8.654874484229358e-05,0.2058509220940106,514,24.056420233463037
1,131,5,104,FDUFU,-0.28840142838527055,-0.00011890366586574265,-0.27105786520564124,291,24.61855670103093
1,169,5,142,FUDUF,0.2856413409344497,0.0001226845010846936,0.2612036271456115,309,21.297734627831716
1,112,5,85,FDDFF,-0.27924188834306,-0.00012342343623243378,-0.2594887626787914,290,21.810344827586206
1,95,5,68,DUFFU,0.26702722465659334,0.00011315183332681429,0.2512958079062541,283,25.487632508833922
1,183,5,156,FUUFD,0.24135702588375624,0.0001109992762970247,0.22917418938208794,259,22.37837837837838
1,241,5,214,UFUUF,-0.23869807860539327,-0.00012084675382091385,-0.21656801439692552,306,22.95751633986928
1,149,5,122,FFFFU,0.23114479572628416,4.721903016889825e-05,0.1166950091206831,964,26.16804979253112
1,122,5,95,FDFFU,-0.22748204802062022,-8.598537788451034e-05,-0.18304916412132677,383,24.77545691906005
1,202,5,175,UDFFF,-0.2267813070157527,-6.861381096370243e-05,-0.15945859181881833,518,21.023166023166024
1,14,3,14,FFU,-0.20757567468423146,-3.510004806341355e-05,-0.08182427403310877,1633,77.70238824249847
1,156,5,129,FFUFD,-0.20155360796015603,-6.824821421741815e-05,-0.150902676827633,444,22.80855855855856
1,66,5,39,DFFFD,-0.19104406960607154,-7.954156616352831e-05,-0.16387828013654643,331,21.29607250755287
1,247,5,220,UUDFF,0.18886040264558346,8.151077707344415e-05,0.1789306207366041,306,20.973856209150327
1,7,3,7,DUF,0.17335237868321549,3.1145198269963253e-05,0.07082451935054715,1421,56.84869809992963
1,15,3,15,FUD,0.17024436124339004,3.28564366889304e-05,0.07185371980220794,1430,54.04195804195804
1,150,5,123,FFFUD,-0.16532724251469327,-5.276761318045065e-05,-0.11760768144773708,503,21.805168986083498
1,1,3,1,DDF,0.1341659227785576,2.985193906647953e-05,0.0583637835212981,1287,47.46076146076146
1,133,5,106,FDUUF,-0.11393156157900465,-4.784114936574196e-05,-0.1060751529943913,280,24.117857142857144
1,174,5,147,FUFFD,0.10318623953358508,3.6349992344903286e-05,0.07755235118037043,454,22.88546255506608
1,228,5,201,UFFFD,-0.08809382796811287,-3.327157008983944e-05,-0.06380062614917226,462,21.88961038961039
1,255,5,228,UUFFD,-0.08782739079887948,-4.2216983734679095e-05,-0.0852576404348733,281,22.185053380782918
1,235,5,208,UFUDF,0.07835074147749382,3.8601632467755704e-05,0.07092464130002717,289,21.474048442906575
1,227,5,200,UFFDU,-0.07581929706262622,-2.8623469877467004e-05,-0.0725661526828856,287,23.254355400696863
1,24,3,24,UUD,0.05250084588608008,1.1228675636696679e-05,0.022611271691083186,1234,44.952188006482984
1,5,3,5,DFU,0.04762991767791495,9.918480741401193e-06,0.019951683620466378,1382,52.60781476121563
1,237,5,210,UFUFD,-0.022245107015596198,-9.924824663086777e-06,-0.02311768560662072,271,21.464944649446494
1,21,3,21,UFD,-0.020327017097529047,-4.066141460640958e-06,-0.00865469434235281,1420,53.04225352112676
1,11,3,11,FDU,0.0011150922888387075,2.078364198916081e-07,0.00046836062986496517,1414,56.57991513437058
5,230,5,203,UFFFU,-3.2729447787554418,-0.0019242029552184962,-2.200398305883496,548,23.08211678832117
5,139,5,112,FFDFF,3.2720622519189666,0.0016976115968592926,1.8752370477142952,738,23.695121951219512
5,16,3,16,FUF,-3.1316946400850996,-0.0011242949459015317,-1.3030173841215138,1630,77.77423312883435
5,6,3,6,DUD,2.952445371873978,0.0013197212566564618,1.2968798801804209,1120,50.4375
5,23,3,23,UFU,-2.454969806375336,-0.0012133298228063543,-1.1025464391988056,1443,59.20651420651421
5,22,3,22,UFF,-2.3211570170141376,-0.0009226973395852477,-1.0339498120912185,1628,80.88513513513513
5,241,5,214,UFUUF,-2.2533633409322547,-0.0019552624540014767,-1.9847654746167203,306,22.95751633986928
5,25,3,25,UUF,-2.1907802458166747,-0.0011314038795868305,-1.14209265158075,1460,58.21849315068493
5,153,5,126,FFUDD,-2.1836583865767873,-0.0017683199514562766,-1.7386709799435676,252,22.88095238095238
5,8,3,8,DUU,-2.127309773629673,-0.0012711702710422104,-1.0250677835601603,1176,49.994897959183675
5,173,5,146,FUFDU,-2.0882909061399286,-0.0018291057188826992,-1.8931143348771928,258,23.24031007751938
5,14,3,14,FFU,-2.0783842444199156,-0.0007550291919456425,-0.8772411612756121,1630,77.68159509202454
5,12,3,12,FFD,1.982096138309771,0.0007780247145925095,0.8248597856900666,1614,67.59851301115242
5,238,5,211,UFUFF,-1.9785669433839363,-0.0013322327475314664,-1.385134803862561,542,25.50738007380074
5,70,5,43,DFFUF,1.9025289195753694,0.0014369460365676497,1.41062907040002,398,24.728643216080403
5,1,3,1,DDF,1.8558203980711987,0.0010446443403108103,0.9197747630452369,1283,47.54559625876851
5,20,3,20,UDU,-1.8146226671252093,-0.0009619739459222463,-0.8468011032956265,1216,49.08634868421053
5,9,3,9,FDD,1.807412234131098,0.0009242422311084307,0.8720592489890833,1314,50.278538812785385
5,149,5,122,FFFFU,-1.691228679565955,-0.0008170877689880254,-0.9185717416129613,961,26.177939646201875
5,166,5,139,FUDFF,-1.6606183386495064,-0.001168209461705095,-1.2069807766183895,463,21.347732181425485
