ticker
AAN
AAWW
ABTX
ACOR
AEGN
AEL
AGTI
AJRD
AKRX
AL
ALEX
ALSK
AMAG
AMBC
AMEH
AMWD
APLS
ARCH
ARNC
ASGN
ATGE
AVID
AVTA
AXE
BGG
BHLB
BIG
BPFH
BRKS
BSIG
CADE
CARA
CATM
CBB
CDMO
CDR
CHS
CHUY
CIVI
CKH
CLI
CMA
CMO
CNSL
CONN
COOP
CORE
CPE
CPSI
CRCM
CSGS
CSII
CTB
CUTR
CVET
CVGW
CWEN-A
DISH
DO
DPLO
DRQ
DSPG
DVAX
EBIX
ECOL
EGOV
ELY
ENDP
ENV
EPAY
EXPI
EXPR
EXTN
FARO
FBC
FBM
FL
FMBI
FOE
FRGI
FSB
GCI
GCP
GDEN
GEAR
GES
GHL
GLT
GLUU
GMS
GWB
HA
HAYN
HBI
HI
HIBB
HMST
HMSY
HNGR
HOUS
HPR
HSII
HSKA
HT
IAC
IBTX
IRBT
ISBC
ITOS
IVC
JBT
JCP
KAMN
KAR
KGS
KLG
KRA
KW
LCI
LDL
LHCG
LL
LTHM
LYLT
MANT
MCW
MDC
MDP
MDR
MGLN
MIK
MNTA
MODG
MODV
MPW
MTOR
MTSC
NARI
NEX
NR
NTUS
NUVA
NVEE
NXGN
NYMT
OAS
ODP
OMI
OPB
PACW
PDCE
PDCO
PEI
PGTI
POLY
PPBI
PRFT
QEP
RAVN
RCM
REGI
ROCC
ROIC
RPAI
RRD
RUTH
SATS
SCVL
SEE
SEM
SGH
SIX
SJI
SJW
SLCA
SNBR
SNCY
SPPI
SPTN
SRDX
STAR
STMP
SWI
SWN
SYKE
TGI
TGNA
THS
TIVO
TLRD
TPH
TRHC
TSE
TUP
TVTY
TWNK
UBA
UFS
UIHC
USCR
VBTX
VGR
VRE
VRTU
VRTV
VSCO
VTLE
WDR
WIRE
WLH
WPG
WSR
ZEUS
ZIMV
ZYXI
