pattern_id,leg,weight,fwd_return
lps_overnight_l21_h21,short,0.011687282019729725,0.006649999409655383
lps_overnight_l21_h21,short,0.011687282019729725,-0.05960979910404607
lps_overnight_l21_h21,short,0.011687282019729725,0.09209689267406507
lps_overnight_l21_h21,short,0.011687282019729725,0.16073598335496242
lps_overnight_l21_h21,short,0.011687282019729725,0.056538476848872365
lps_overnight_l21_h21,short,0.011687282019729725,0.10876054499980725
lps_overnight_l21_h21,short,0.011687282019729725,-0.07562543859051485
lps_overnight_l21_h21,short,0.011687282019729725,0.09251100932872824
lps_overnight_l21_h21,short,0.011687282019729725,0.02952451855918725
lps_overnight_l21_h21,short,0.011687282019729725,0.06285506031006949
lps_overnight_l21_h21,short,0.011687282019729725,0.031729342825985496
lps_overnight_l21_h21,short,0.011687282019729725,0.19438088489095517
lps_overnight_l21_h21,short,0.011687282019729725,-0.0353220029544874
lps_overnight_l21_h21,short,0.011687282019729725,-0.0194384238995835
lps_overnight_l21_h21,short,0.011687282019729725,-0.06407783873777173
lps_overnight_l21_h21,short,0.011687282019729725,0.03971895591949637
lps_overnight_l21_h21,short,0.011687282019729725,0.17117721670882236
lps_overnight_l21_h21,short,0.011687282019729725,0.08332238680728343
lps_overnight_l21_h21,short,0.011687282019729725,0.07336545968417996
lps_overnight_l21_h21,short,0.011687282019729725,0.010895773205203074
lps_overnight_l21_h21,short,0.011687282019729725,0.19779067066362366
lps_overnight_l21_h21,short,0.011687282019729725,-0.059022197383727604
lps_overnight_l21_h21,short,0.011687282019729725,0.01005451688294312
lps_overnight_l21_h21,short,0.011687282019729725,-0.013092394159570975
lps_overnight_l21_h21,short,0.011687282019729725,-0.04452909159234242
lps_overnight_l21_h21,short,0.011736356395801437,0.046453655139687466
lps_overnight_l21_h21,short,0.012053742456771495,-0.043321624162866446
lps_overnight_l21_h21,short,0.012316624238819957,-0.008514967700563814
lps_overnight_l21_h21,short,0.012553995984378848,-0.07012613293014025
lps_overnight_l21_h21,short,0.013515645702467582,0.09782092976821777
lps_overnight_l21_h21,short,0.014667457778970076,0.012272881044182338
lps_overnight_l21_h21,short,0.01682266889326874,-0.005154283236820767
lps_overnight_l21_h21,short,0.02105773640237862,0.005295774741441939
lps_overnight_l21_h21,short,0.02214783468708907,0.09939504897323648
lps_overnight_l21_h21,short,0.028997406797708243,0.06972304836950727
lps_overnight_l21_h21,short,0.030268399981689516,0.015115283073558361
lps_overnight_l21_h21,short,0.03674748892016934,0.10159414867472183
lps_overnight_l21_h21,short,0.03684518990181875,0.04117383547914932
lps_overnight_l21_h21,short,0.04052475839102448,0.019807196359758583
lps_overnight_l21_h21,short,0.04150356020646048,0.02304672969692989
lps_overnight_l21_h21,short,0.043000958255870844,0.4224042498224623
lps_overnight_l21_h21,short,0.05763120188365289,0.05695605581483343
lps_overnight_l21_h21,short,0.061620481329253456,0.16126439507958357
lps_overnight_l21_h21,short,0.06337165869046735,0.3216505200989974
lps_overnight_l21_h21,short,0.06521739130434782,-0.024271761799988023
lps_overnight_l21_h21,short,0.06521739130434782,0.04453760721447342
lps_overnight_l21_h21,long,0.06521739130434782,0.163251833995117
lps_overnight_l21_h21,long,0.06296305611809391,-0.007035065317888001
lps_overnight_l21_h21,long,0.05708611137413194,0.038093303124986155
lps_overnight_l21_h21,long,0.05562606103870549,0.002944180296690746
lps_overnight_l21_h21,long,0.05415851008204329,-0.06714177918393627
lps_overnight_l21_h21,long,0.05130365523358937,0.07590292316347402
lps_overnight_l21_h21,long,0.04676017871223371,0.08426284465778755
lps_overnight_l21_h21,long,0.04397318411472872,0.06901999430773631
lps_overnight_l21_h21,long,0.040838855529329254,-0.010492821142084052
lps_overnight_l21_h21,long,0.03124271356251737,0.06833214204773275
lps_overnight_l21_h21,long,0.02956056852408998,-0.011574044605614064
lps_overnight_l21_h21,long,0.029049158266680718,0.09456565467572142
lps_overnight_l21_h21,long,0.02802958845939711,0.22076943914994862
lps_overnight_l21_h21,long,0.026949191615645556,0.06060403511644652
lps_overnight_l21_h21,long,0.02530738902956516,0.16645524862160488
lps_overnight_l21_h21,long,0.024026598936226634,0.10926923130953514
lps_overnight_l21_h21,long,0.021960195499408162,0.06586190530678593
lps_overnight_l21_h21,long,0.020127125924659144,0.06295619848359602
lps_overnight_l21_h21,long,0.019004091031789794,0.08999945224826478
lps_overnight_l21_h21,long,0.01786734932269449,0.057780431862971326
lps_overnight_l21_h21,long,0.017168764449827317,0.03500525296200263
