symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
XRPUSDT,high_tier,2021,59,64.71186440677967,19.0,3.614898442737153
XRPUSDT,high_tier,2022,15,77.13333333333334,80.0,2.4295599265424923
XRPUSDT,high_tier,2023,9,84.66666666666667,23.0,3.9434636909354137
XRPUSDT,high_tier,2024,6,229.33333333333334,81.5,2.441682446551747
XRPUSDT,high_tier,2025,2,11.0,11.0,2.5324118406593747
XRPUSDT,high_tier,2026-partial,1,4672.0,4672.0,1.9182257725456808
XRPUSDT,retail_taker,2020,46,25.73913043478261,7.0,5.213268726973515
XRPUSDT,retail_taker,2021,21,78.61904761904762,23.0,7.723068870417633
XRPUSDT,retail_taker,2022,4,30.75,27.0,4.355615052811924
XRPUSDT,retail_taker,2023,1,20.0,20.0,18.946432803982017
XRPUSDT,retail_taker,2024,1,3.0,3.0,4.234338747099854
ZECUSDT,high_tier,2020,189,22.465608465608465,9.0,2.3613036245033574
ZECUSDT,high_tier,2021,61,73.39344262295081,19.0,3.3177988130681695
ZECUSDT,high_tier,2022,627,4.851674641148326,3.0,2.342729551013978
ZECUSDT,high_tier,2023,861,4.087108013937282,2.0,2.380520542017434
ZECUSDT,high_tier,2024,240,15.858333333333333,6.0,2.193123742127865
ZECUSDT,high_tier,2025,268,17.80597014925373,10.0,2.27910650746579
ZECUSDT,high_tier,2026-partial,9,219.11111111111111,59.0,2.6056773197686627
ZECUSDT,retail_taker,2020,35,39.77142857142857,8.0,4.395751393314102
ZECUSDT,retail_taker,2021,13,126.84615384615384,68.0,9.63478521117479
ZECUSDT,retail_taker,2022,65,5.276923076923077,4.0,3.79155639917976
ZECUSDT,retail_taker,2023,81,3.049382716049383,2.0,3.848900944932153
ZECUSDT,retail_taker,2024,21,31.142857142857142,14.0,4.334957954994418
ZECUSDT,retail_taker,2025,61,23.901639344262296,11.0,3.8820513280351263
ZECUSDT,retail_taker,2026-partial,2,22.0,22.0,3.877298938271495
LINKUSDT,high_tier,2020,230,18.88695652173913,6.0,2.7447342353507267
LINKUSDT,high_tier,2021,31,126.58064516129032,73.0,4.041554277978839
LINKUSDT,high_tier,2022,121,8.867768595041323,4.0,2.1852067269352755
LINKUSDT,high_tier,2023,7,112.57142857142857,84.0,4.433758214353558
LINKUSDT,high_tier,2024,15,118.46666666666667,24.0,1.9139642590780008
LINKUSDT,high_tier,2025,9,20.444444444444443,12.0,2.385274613253238
LINKUSDT,high_tier,2026-partial,57,5.157894736842105,3.0,1.9119637465559574
LINKUSDT,retail_taker,2020,97,18.22680412371134,8.0,4.774193913696743
LINKUSDT,retail_taker,2021,9,187.22222222222223,30.0,9.813335683588114
LINKUSDT,retail_taker,2022,3,4.666666666666667,3.0,3.5532734287506256
LINKUSDT,retail_taker,2023,2,73.5,73.5,10.061042247957896
LINKUSDT,retail_taker,2024,1,5.0,5.0,11.110708461678158
LINKUSDT,retail_taker,2025,1,58.0,58.0,6.06630130458102
UNIUSDT,high_tier,2020,59,24.83050847457627,6.0,3.4889941262632735
UNIUSDT,high_tier,2021,94,42.45744680851064,9.0,2.6420426047860004
UNIUSDT,high_tier,2022,576,4.204861111111111,3.0,2.2360767793353498
UNIUSDT,high_tier,2023,24,51.166666666666664,30.0,2.8913023794758046
UNIUSDT,high_tier,2024,11,131.36363636363637,67.0,2.032933895521897
UNIUSDT,high_tier,2025,2,357.5,357.5,1.899049272939977
UNIUSDT,high_tier,2026-partial,3,39.666666666666664,34.0,1.82707603778698
UNIUSDT,retail_taker,2020,21,21.19047619047619,6.0,6.85932058730211
UNIUSDT,retail_taker,2021,16,108.5625,96.5,6.7070668558153015
UNIUSDT,retail_taker,2022,27,4.185185185185185,3.0,3.8308092336838366
UNIUSDT,retail_taker,2023,3,20.0,24.0,8.509624460086252
UNIUSDT,retail_taker,2025,1,491.0,491.0,3.4135781087632777
NEARUSDT,high_tier,2020,120,7.075,3.0,2.686920250359803
NEARUSDT,high_tier,2021,247,23.06477732793522,5.0,2.708888758562358
NEARUSDT,high_tier,2022,70,26.014285714285716,7.5,2.1886405731788647
NEARUSDT,high_tier,2023,323,7.356037151702786,4.0,2.1621576028163583
NEARUSDT,high_tier,2024,12,114.66666666666667,61.0,2.164756396774108
NEARUSDT,high_tier,2025,43,15.348837209302326,10.0,2.067545832264773
NEARUSDT,high_tier,2026-partial,180,5.7444444444444445,4.0,2.0894985214704525
NEARUSDT,retail_taker,2020,46,10.326086956521738,7.0,4.093610114318854
NEARUSDT,retail_taker,2021,64,42.125,15.0,5.06282885844678
