symbol,company_name,market,first_trading_date,delisting_date,reason
UFM,UNITED FLOUR MILL PUBLIC COMPANY LIMITED,SET,29 Dec 1978,01 Dec 2010,The company requests for voluntary delisting
UGP,UNIQUE GAS & PETROCHEMICALS PUBLIC COMPANY LIMITED,SET,01 Jun 1993,14 Dec 2002,The company requests for voluntary delisting
UI,"UNION THREAD INDUSTRIES CO., LTD.",SET,02 May 1978,26 Oct 1993,The company requests for voluntary delisting
UMW,UNITED MOTOR WORKS (SIAM) PUBLIC COMPANY LIMITED,SET,30 Jul 1991,16 Feb 2000,The company requests for voluntary delisting
UNI,UNITED FOODS PUBLIC COMPANY LIMITED,SET,27 Feb 1992,22 Aug 2002,The company requests for voluntary delisting
UNIPF,UNILOFT PROPERTY FUND,SET,14 Nov 2013,09 Dec 2017,Others
UNITED,UNITED FINANCE CORPORATION PUBLIC COMPANY LIMITED,SET,01 Mar 1991,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
UNIVES,UNIVEST LAND PUBLIC COMPANY LIMITED,SET,16 Jan 1990,01 Jun 1999,SET command de-lists because they violate SET's rule and regulations
UOB8TF,UOB FREEHOLD EIGHT THONGLOR PROPERTY FUND,SET,05 Mar 2012,13 May 2016,Others
UOBAPF,UOB APARTMENT PROPERTY FUND I (LEASEHOLD),SET,29 Oct 2003,25 Oct 2013,Others
UOBKH,UOB KAY HIAN SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,22 Nov 2005,25 Apr 2026,The company requests for voluntary delisting
UOBR,UOB RADANASIN BANK PUBLIC COMPANY LIMITED,SET,21 Nov 1978,23 Nov 2005,The company requests for voluntary delisting
UOBT,UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,SET,21 Nov 1978,12 Aug 2006,The company requests for voluntary delisting
URBNPF,URBANA PROPERTY FUND (LEASE HOLD),SET,18 Oct 2007,15 Aug 2024,Others
UST,UNITED STANDARD TERMINAL PUBLIC COMPANY LIMITED,SET,08 Jul 1988,04 May 2012,The company requests for voluntary delisting
UT,UNION TEXTILE INDUSTRIES PUBLIC COMPANY LIMITED,SET,20 Nov 1980,23 Mar 2022,The company requests for voluntary delisting
UTC,UNION TECHNOLOGY (2008) PUBLIC COMPANY LIMITED,SET,11 May 1988,01 Sep 2009,The company requests for voluntary delisting
UTL,UNITHAI LINE PUBLIC COMPANY LIMITED,SET,23 Jun 1994,13 Dec 2003,The company requests for voluntary delisting
VGM,VGM CORPORATION PUBLIC COMPANY LIMITED,SET,11 Mar 1992,24 Jul 2014,Others
VI,VENTURE INCORPORATION PUBLIC COMPANY LIMITED,SET,05 Jul 1996,18 Aug 2021,Others
VK,VIDHAYAKOM PUBLIC COMPANY LIMITED,SET,17 Apr 1978,06 Jul 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
VNT,VINYTHAI PUBLIC COMPANY LIMITED,SET,23 Feb 1995,12 Mar 2022,The company requests for voluntary delisting
WALL,WALL STREET FINANCE AND SECURITIES PUBLIC COMPANY LIMITED,SET,24 Jun 1993,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
WAT-O,WATTACHAK PUBLIC COMPANY LIMITED,SET,13 Sep 1991,01 Jun 1999,SET command de-lists because they violate SET's rule and regulations
WFC,WONGPAITOON GROUP PUBLIC COMPANY LIMITED,SET,28 Jul 1993,26 Dec 2003,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
WG,WHITE GROUP PUBLIC COMPANY LIMITED,SET,11 Apr 1979,20 Nov 2020,The company requests for voluntary delisting
WHAPF,WHA PREMIUM FACTORY AND WAREHOUSE FREEHOLD AND LEASEHOLD PROPERTY FUND,SET,24 Dec 2010,07 Dec 2017,Others
WORLD,WORLD CORPORATION PUBLIC COMPANY LIMITED,SET,30 Aug 1994,03 Sep 2024,SET command de-lists because they violate SET's rule and regulations
WR,WE RETAIL PUBLIC COMPANY LIMITED,SET,30 Jul 2002,18 Aug 2021,Others
YCI,YONG THAI PUBLIC COMPANY LIMITED,SET,19 Nov 1990,18 Aug 2021,Others
YNP,YARNAPUND PUBLIC COMPANY LIMITED,SET,13 Jan 2005,10 Jul 2019,Others
