symbol,company_name,market,first_trading_date,delisting_date,reason
O-LAP,ORIENTAL LAPIDARY PUBLIC COMPANY LIMITED,SET,27 Apr 1989,02 Jun 2000,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
ONE,ONE HOLDING PUBLIC COMPANY LIMITED,SET,30 Jul 1990,02 Jun 2000,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
ONONO,THAI ONONO PUBLIC COMPANY LIMITED,SET,11 Nov 1988,07 May 1999,The company requests for voluntary delisting
PA,PACIFIC ASSETS PUBLIC COMPANY LIMITED,SET,29 Sep 1989,13 Oct 2010,The company requests for voluntary delisting
PACE,PACE DEVELOPMENT CORPORATION PUBLIC COMPANY LIMITED,SET,07 Aug 2013,02 Jul 2024,SET command de-lists because they violate SET's rule and regulations
PACFIN,PACIFIC FINANCE & SECURITIES PUBLIC COMPANY LIMITED,SET,25 Jun 1996,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
PAE,PAE (THAILAND) PUBLIC COMPANY LIMITED,SET,13 Feb 1996,10 Aug 2022,Others
PATRA,PATRA CERAMICS PUBLIC COMPANY LIMITED,SET,13 Sep 1991,12 Feb 1997,The company requests for voluntary delisting
PD,PACK DELTA PUBLIC COMPANY LIMITED,mai,01 Dec 2003,21 Mar 2008,The company requests for voluntary delisting
PDC,-,SET,30 Dec 1982,14 Sep 1984,The company requests for voluntary delisting
PE,PREMIER ENTERPRISE PUBLIC COMPANY LIMITED,SET,12 Jul 1991,23 Jun 2022,SET command de-lists because they violate SET's rule and regulations
PFFUND,PROPERTY PERFECT FUND,SET,20 Mar 2008,07 Mar 2013,-
PFS,POONPIPAT FINANCE AND SECURITIES PUBLIC COMPANY LIMITED,SET,01 Jun 1993,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
PHA,PHATRA INSURANCE PUBLIC COMPANY LIMITED,SET,09 Aug 1979,23 Jun 2008,Amalgamation
PHATRA,PHATRA CAPITAL PUBLIC COMPANY LIMITED,SET,05 Jan 2011,25 Sep 2012,The company requests for voluntary delisting
PHATR-O,PHATRA THANAKIT PUBLIC COMPANY LIMITED,SET,04 May 1979,02 Jun 1999,-
PIC,PHUKET ISLAND PUBLIC COMPANY LIMITED,SET,27 Sep 1991,06 Jul 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
PICNI,PICNIC CORPORATION PUBLIC COMPANY LIMITED,SET,16 Feb 1993,24 Nov 2014,Amalgamation
POLAR,POLARIS CAPITAL PUBLIC COMPANY LIMITED,SET,16 Aug 1990,28 Jan 2025,SET command de-lists because they violate SET's rule and regulations
POMPUI,KUANG PEI SAN FOOD PRODUCTS PUBLIC COMPANY LIMITED,SET,08 Jun 1995,21 Feb 2024,SET command de-lists because they violate SET's rule and regulations
POST,BANGKOK POST PUBLIC COMPANY LIMITED,SET,26 Dec 1984,26 Jul 2024,SET command de-lists because they violate SET's rule and regulations
PPC,PAKFOOD PUBLIC COMPANY LIMITED,SET,15 Jun 1990,15 Nov 2013,The company requests for voluntary delisting
PPF,PINTHONG INDUSTRIAL PARK PROPERTY FUND,SET,08 Jul 2014,12 Jun 2024,Others
PPPC,PHOENIX PULP & PAPER PUBLIC COMPANY LIMITED,SET,14 Dec 1989,07 Jan 2005,The company requests for voluntary delisting
PR,PRESIDENT RICE PRODUCTS PUBLIC COMPANY LIMITED,SET,29 Dec 1987,16 Oct 2017,Amalgamation
PRIME-O,PRIME FINANCE & SECURITIES PUBLIC COMPANY LIMITED,SET,04 Dec 1992,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
PRO,PROFESSIONAL WASTE TECHNOLOGY (1999) PUBLIC COMPANY LIMITED,SET,23 Jul 2004,09 Jan 2025,SET command de-lists because they violate SET's rule and regulations
PS,PRUKSA REAL ESTATE PUBLIC COMPANY LIMITED,SET,06 Dec 2005,01 Dec 2016,The company requests for voluntary delisting
PTSL,PRUDENTIAL TSLIFE ASSURANCE PUBLIC COMPANY LIMITED,SET,09 Dec 1988,01 Dec 1998,The company requests for voluntary delisting
PTTAR,PTT AROMATICS AND REFINING PUBLIC COMPANY LIMITED,SET,28 Dec 2007,19 Oct 2011,Amalgamation
PTTCH,PTT CHEMICAL PUBLIC COMPANY LIMITED,SET,08 Dec 2005,19 Oct 2011,Amalgamation
PYT,PRASIT PATANA PUBLIC COMPANY LIMITED,SET,29 Nov 1993,04 May 2012,The company requests for voluntary delisting
QHHR,QUALITY HOUSES HOTEL AND RESIDENCE FREEHOLD AND LEASEHOLD PROPERTY FUND,SET,31 Jul 2012,29 May 2024,Others
QHPF,QUALITY HOUSES LEASEHOLD PROPERTY FUND,SET,12 Dec 2006,16 Dec 2024,Others
RAJA,-,SET,19 Sep 1977,20 Aug 1979,-
RANCH,BANGKOK RANCH PUBLIC COMPANY LIMITED,SET,01 Feb 1993,05 Aug 2009,The company requests for voluntary delisting
RCI,THE ROYAL CERAMIC INDUSTRY PUBLIC COMPANY LIMITED,SET,28 Sep 1989,16 Jul 2021,The company requests for voluntary delisting
RENOWN,RENOWN LEATHERWEARS PUBLIC COMPANY LIMITED,SET,22 Sep 1992,23 Feb 2001,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
RHBS,RHB SECURITIES (THAILAND) PUBLIC COMPANY LIMITED,SET,22 Nov 2006,22 Oct 2013,The company requests for voluntary delisting
RHC,RAJADAMRI HOTEL PUBLIC COMPANY LIMITED,SET,09 Apr 1990,12 Jul 2007,The company requests for voluntary delisting
RICH,RICH ASIA CORPORATION PUBLIC COMPANY LIMITED,SET,31 Aug 2006,19 Aug 2020,Others
ROBINS,ROBINSON PUBLIC COMPANY LIMITED,SET,03 Jan 1992,20 Feb 2020,The company requests for voluntary delisting
ROYNET,ROYNET PUBLIC COMPANY LIMITED,mai,25 Oct 2001,05 Mar 2005,SET command de-lists because they fail to submit financial statements
RRC,RAYONG REFINERY PUBLIC COMPANY LIMITED,SET,05 Jun 2006,28 Dec 2007,Amalgamation
RTC,-,SET,16 Jun 1975,10 May 1985,-
SAFARI,SAFARI WORLD PUBLIC COMPANY LIMITED,SET,16 Feb 1995,24 May 2025,SET command de-lists because they violate SET's rule and regulations
SAFE-O,THE SAFETY INSURANCE PUBLIC COMPANY LIMITED,SET,21 Mar 1977,31 Oct 2008,The company requests for voluntary delisting
SAF-O,-,SET,23 Nov 1977,18 Dec 1986,-
SAICO,"THE SIAM AGRO INDUSTRY PINEAPPLE AND OTHERS PUBLIC CO., LTD.",SET,17 May 1989,07 Sep 2009,The company requests for voluntary delisting
SBPF,SAMUI BURI PROPERTY FUND,SET,18 Aug 2010,05 Nov 2021,-
SCAN,SCAN GLOBAL PUBLIC COMPANY LIMITED,SET,19 Aug 1996,29 Sep 2016,Others
